ID,CourseName,Instructor,Building,Time
003 10190-01,全民國防教育軍事訓練課程－全民國防,余宗基,共301,(五) 13:20~14:20
003 10190-02,全民國防教育軍事訓練課程－全民國防,余宗基,共301,(五) 15:30~16:30
003 10210-01,全民國防教育軍事訓練課程－防衛動員,余宗基,普203,(三) 13:20~14:20
003 10210-02,全民國防教育軍事訓練課程－防衛動員,余宗基,普203,(三) 15:30~16:30
003 10220-01,全民國防教育軍事訓練課程－國際情勢,劉鐵軍,新204,(四) 10:20~11:20
003 10220-02,全民國防教育軍事訓練課程－國際情勢,劉鐵軍,新102,(四) 13:20~14:20
003 10230-01,全民國防教育軍事訓練課程－國防科技,劉鐵軍,新203,(二) 10:20~11:20
003 10230-02,全民國防教育軍事訓練課程－國防科技,劉鐵軍,新203,(二) 13:20~14:20
004 20110-03,進階英語一(綜合),劉威辰,普404,(三) 13:20~14:20
004 20110-04,進階英語一(綜合),劉威辰,普404,(三) 15:30~16:30
004 20710-02,進階英語一(綜合科技),陳逸軒,綜502,(三) 15:30~16:30
004 20810-01,進階英語一(綜合學術),鍾玉玨,共401,(二) 10:20~11:20
004 30211-01,印尼文一上,王麗蘭,新504,(一) 10:20~12:20
004 30221,印尼文二上,王麗蘭,新301,(一) 13:20~15:30
004 30311-01,韓文一上,李相美,共304,(二) 9:10~11:20
004 30311-02,韓文一上,李相美,共304,(二) 12:20~14:20
004 30311-03,韓文一上,李相美,共304,(二) 15:30~17:30
004 30311-04,韓文一上,李相美,共403,(三) 12:20~14:20
004 30311-05,韓文一上,李承珍,共303,(一) 12:20~14:20
004 30311-06,韓文一上,李承珍,共303,(一) 15:30~17:30
004 30311-07,韓文一上,李承珍,共307,(二) 15:30~17:30
004 30311-08,韓文一上,李承珍,共404,(三) 12:20~14:20
004 30321-01,韓文二上,李相美,共402,(一) 15:30~17:30
004 30321-02,韓文二上,李承珍,共307,(二) 12:20~14:20
004 30331,韓文三上,李相美,共403,(三) 15:30~17:30
004 30411,馬來文一上,顏聖錝,新504,(二) 13:20~15:30
004 30511-01,泰文一上,張君松,綜604,(三) 12:20~14:20
004 30511-02,泰文一上,張君松,綜604,(三) 15:30~17:30
004 30511-03,泰文一上,張君松,綜602,(四) 13:20~15:30
004 30521,泰文二上,張君松,綜203,(四) 9:10~11:20
004 30531,泰文三上,張君松,綜601,(三) 9:10~11:20
004 30611-01,越南文一上,阮蓮香,共405,(三) 9:10~11:20
004 30611-02,越南文一上,阮蓮香,共403,(四) 9:10~11:20
004 30621-01,越南文二上,阮蓮香,共403,(四) 13:20~15:30
004 30621-02,越南文二上,阮蓮香,共405,(三) 13:20~15:30
004 30631,越南文三上,阮蓮香,共405,(一) 13:20~15:30
101 11230,人文科技的交響：新趨勢與新素養（一）,鄭毓瑜,博雅301,(四) 14:20~16:30
101 11290,佛教與禪,羅鈴沛,共404,(一) 14:20~16:30
101 13400,明清小說選讀,蔡祝青,普401,(三) 10:20~11:20
101 14101-01,國學導讀上,黃啟書,普401,(一) 10:20~11:20
101 14101-02,國學導讀上,羅聖堡,普301,(一) 10:20~11:20
101 14201,中國歷史與文化上,楊芳燕,普202,(五) 13:20~14:20
101 15801,現代中文及習作上,葉叡宸,普205,(四) 14:20~16:30
101 15821,現代中文及習作二上,李馥名,普305,(五) 9:10~11:20
101 161B1,現代散文選上,洪淑苓,普303,(二) 13:20~14:20
101 163A1,現代小說選上,高嘉謙,普204,(五) 10:20~11:20
101 16890,臺灣現代詩,劉正忠,博雅101,(一) 15:30~16:30
101 17010,當代女詩人作品選,洪淑苓,普306,(五) 14:20~16:30
101 18101-01,文學概論上,陳昭瑛,普203,(五) 13:20~14:20
101 18101-02,文學概論上,潘少瑜,普205,(五) 13:20~14:20
101 19510,楚簡書法研習與創作,丁  亮,普305,(二) 14:20~16:30
101 19790,漢語語言學,巫雪如,普406,(四) 9:10~11:20
101 19801,初級中國文字學上,張宇衛,普201,(一) 10:20~11:20
101 211B1-01,文字學乙上,林宏佳,普306,(四) 10:20~11:20
101 211B1-02,文字學乙上,林宏佳,普405,(三) 10:20~11:20
101 212A1-01,語言學概論甲上,巫雪如,普402,(三) 10:20~11:20
101 212A1-02,語言學概論甲上,張麗麗,普404,(三) 10:20~11:20
101 21600,紅樓夢導讀,歐麗娟,新201,(二) 14:20~16:30
101 220A1,四書甲上,林永勝,普502,(五) 10:20~11:20
101 222B1,左傳乙上,張素卿,普204,(二) 15:30~16:30
101 22701,國學概說上,狄君宏,普501,(三) 10:20~11:20
101 22801,歷代文選上,羅鈴沛,共206,(二) 10:20~11:20
101 24110,文言文進階導讀一,竺靜華,共202,(一) 10:20~11:20
101 24910,中國文學史概說一,陳志信,共102,(一) 9:10~11:20
101 25101-01,中國文學史上,黃奕珍,普302,(四) 14:20~16:30
101 25101-02,中國文學史上,吳旻旻,普303,(四) 14:20~16:30
101 25211,中國文學史一上,謝佩芬,文19,(四) 12:20~13:20
101 25221,中國文學史二上,劉柏正,普305,(四) 13:20~14:20
101 26001-01,歷代文選及習作上,劉柏正,普306,(二) 10:20~11:20
101 26001-02,歷代文選及習作上,陳志信,普301,(二) 13:20~14:20
101 271A1-01,詩選及習作甲上,李文鈺,共308,(二) 15:30~16:30
101 271A1-02,詩選及習作甲上,沈凡玉,普202,(二) 15:30~16:30
101 311A1-01,聲韻學甲上,李存智,普403,(一) 10:20~11:20
101 311A1-02,聲韻學甲上,徐芳敏,文17,(一) 10:20~11:20
101 322A1,尚書甲上,曹美秀,共207,(二) 10:20~11:20
101 323A1,禮記甲上,黃啟書,普205,(二) 8:10~9:10
101 332A1,莊子甲上,徐聖心,普205,(二) 10:20~11:20
